"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试切换WiFi网络","69402","test_change_wifi[desloc_testingwifi_netgear-asdfgVCXZ]","tests","Fri Jul 25 08:41:50 CST 2025","passed","Fri Jul 25 08:42:59 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","73835","test_change_wifi[desloc_testingwifi_google-ASDFGvcxz]","tests","Fri Jul 25 08:44:26 CST 2025","passed","Fri Jul 25 08:45:40 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","81278","test_change_wifi[desloc_testingwifi_tenda-asdfgVCXZ]","tests","Fri Jul 25 08:52:47 CST 2025","passed","Fri Jul 25 08:54:08 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","73364","test_change_wifi[desloc_testingwifi_asus-asdfgVCXZ]","tests","Fri Jul 25 08:34:58 CST 2025","passed","Fri Jul 25 08:36:12 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","74998","test_change_wifi[desloc_testingwifi_tplink IOT-asdfgVCXZ]","tests","Fri Jul 25 08:55:38 CST 2025","passed","Fri Jul 25 08:56:53 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","69802","test_change_wifi[desloc_testingwifi_tplink Guest-]","tests","Fri Jul 25 08:40:30 CST 2025","passed","Fri Jul 25 08:41:40 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","71588","test_change_wifi[\U0001f4f6\u6d4b\u0628\u03b1"" !$%&')*,/:=>?@[\\^|~-S3cur3P@ss_!#$%&'()*+,-./:;<=>?@[\\]^_{|}~ABCxyz123XYZ789!@#]","tests","Fri Jul 25 08:37:50 CST 2025","passed","Fri Jul 25 08:39:02 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","82074","test_change_wifi[desloc_testingwifi_google Guest-asdfgVCXZ]","tests","Fri Jul 25 08:45:50 CST 2025","passed","Fri Jul 25 08:47:12 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","69508","test_change_wifi[desloc_testingwifi_linksys-asdfgVCXZ]","tests","Fri Jul 25 08:50:09 CST 2025","passed","Fri Jul 25 08:51:18 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","86017","test_change_wifi[desloc_testingwifi_TPLink_iot7-asdfgVCXZ]","tests","Fri Jul 25 08:32:07 CST 2025","passed","Fri Jul 25 08:33:33 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","68711","test_change_wifi[desloc_testingwifi_netgear Guest-asdfgVCXZ]","tests","Fri Jul 25 08:51:28 CST 2025","passed","Fri Jul 25 08:52:37 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","70347","test_change_wifi[desloc_testingwifi eero-asdfgVCXZ]","tests","Fri Jul 25 08:47:22 CST 2025","passed","Fri Jul 25 08:48:32 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","78305","test_change_wifi[desloc_testingwifi_eero remote-asdfgVCXZ]","tests","Fri Jul 25 08:36:22 CST 2025","passed","Fri Jul 25 08:37:40 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","76550","test_change_wifi[desloc_testingwifi_eero Guest-asdfgVCXZ]","tests","Fri Jul 25 08:48:42 CST 2025","passed","Fri Jul 25 08:49:59 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","65474","test_change_wifi[desloc_testingwifi_TPLink_w7G-]","tests","Fri Jul 25 08:33:43 CST 2025","passed","Fri Jul 25 08:34:48 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","69915","test_change_wifi[desloc_testingwifi_tplink-asdfgVCXZ]","tests","Fri Jul 25 08:54:19 CST 2025","passed","Fri Jul 25 08:55:28 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","73221","test_change_wifi[desloc_testingwifi_TP-Link_wifi7-asdfgVCXZ]","tests","Fri Jul 25 08:29:04 CST 2025","passed","Fri Jul 25 08:30:18 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","68054","test_change_wifi[desloc_testingwifi_tenda Guest-]","tests","Fri Jul 25 08:39:12 CST 2025","passed","Fri Jul 25 08:40:20 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","67088","test_change_wifi[desloc_testingwifi_asus Guest-asdfgVCXZ]","tests","Fri Jul 25 08:43:09 CST 2025","passed","Fri Jul 25 08:44:16 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","89261","test_change_wifi[desloc_testingwifi_TPLink_w7MLO-asdfgVCXZ]","tests","Fri Jul 25 08:30:28 CST 2025","passed","Fri Jul 25 08:31:57 CST 2025","","test_change_wifi","",""
