"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试切换WiFi网络","69709","test_change_wifi[desloc_testingwifi_asus Guest-asdfgVCXZ]","tests","Thu Jul 24 18:50:30 CST 2025","passed","Thu Jul 24 18:51:40 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","94299","test_change_wifi[desloc_testingwifi_tplink Guest-]","tests","Thu Jul 24 18:47:25 CST 2025","passed","Thu Jul 24 18:48:59 CST 2025","","test_change_wifi","",""
"循环测试Vacation Mode开启和关闭","175572","test_vacation_mode_cycle[0]","tests","Thu Jul 24 21:19:30 CST 2025","passed","Thu Jul 24 21:22:26 CST 2025","","test_set_vacation_mode","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","320877","test_add_alwaysusers_passcodes_via_wifi[test_user_013-5]","tests","Thu Jul 24 20:24:29 CST 2025","passed","Thu Jul 24 20:29:50 CST 2025","","test_add_access","",""
"测试切换WiFi网络","84854","test_change_wifi[desloc_testingwifi_netgear Guest-asdfgVCXZ]","tests","Thu Jul 24 19:04:01 CST 2025","passed","Thu Jul 24 19:05:26 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","71229","test_change_wifi[desloc_testingwifi_tenda Guest-]","tests","Thu Jul 24 18:46:04 CST 2025","passed","Thu Jul 24 18:47:15 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","84261","test_change_wifi[desloc_testingwifi_TPLink_iot7-asdfgVCXZ]","tests","Thu Jul 24 18:36:37 CST 2025","passed","Thu Jul 24 18:38:01 CST 2025","","test_change_wifi","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","403203","test_add_alwaysusers_passcodes_via_wifi[test_user_016-5]","tests","Thu Jul 24 20:44:20 CST 2025","passed","Thu Jul 24 20:51:03 CST 2025","","test_add_access","",""
"测试设置防劫持密码","74393","test_set_anti_hijacking_passcode","tests","Thu Jul 24 21:32:20 CST 2025","failed","Thu Jul 24 21:33:34 CST 2025","","test_set_anti_hijacking_assign","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","345634","test_add_alwaysusers_passcodes_via_wifi[test_user_012-5]","tests","Thu Jul 24 20:18:33 CST 2025","passed","Thu Jul 24 20:24:19 CST 2025","","test_add_access","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","128599","test_lock_firmware_ota_upgrade_via_wifi[2-3]","tests","Thu Jul 24 19:22:07 CST 2025","passed","Thu Jul 24 19:24:15 CST 2025","","test_ota","",""
"测试手动输入方式添加设备","97812","test_add_device_manual","tests","Thu Jul 24 18:31:04 CST 2025","passed","Thu Jul 24 18:32:42 CST 2025","","test_add_device","",""
"测试切换WiFi网络","86085","test_change_wifi[desloc_testingwifi_TPLink_w7MLO-asdfgVCXZ]","tests","Thu Jul 24 18:35:01 CST 2025","passed","Thu Jul 24 18:36:27 CST 2025","","test_change_wifi","",""
