"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"循环测试Passage Mode开启和关闭","18245","test_passage_mode_cycle[1]","tests","Mon Jul 21 19:36:12 CST 2025","broken","Mon Jul 21 19:36:30 CST 2025","","test_set_passage_mode","",""
"测试切换WiFi网络","68805","test_change_wifi[desloc_testingwifi_eero remote-asdfgVCXZ]","tests","Mon Jul 21 16:58:58 CST 2025","passed","Mon Jul 21 17:00:06 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","65658","test_change_wifi[desloc_testingwifi_TP-Link_wifi7-asdfgVCXZ]","tests","Mon Jul 21 16:51:44 CST 2025","passed","Mon Jul 21 16:52:49 CST 2025","","test_change_wifi","",""
"批量添加用户名和钥匙测试用例","255994","test_add_alwaysusers_passcodes[test_user_002-5]","tests","Mon Jul 21 17:44:08 CST 2025","passed","Mon Jul 21 17:48:24 CST 2025","","test_add_access","",""
"循环测试Vacation Mode开启和关闭","195802","test_vacation_mode_cycle[1]","tests","Mon Jul 21 19:39:46 CST 2025","passed","Mon Jul 21 19:43:02 CST 2025","","test_set_vacation_mode","",""
"通过WiFi进行锁固件升级测试用例（关闭蓝牙）","128808","test_lock_firmware_ota_upgrade_via_wifi[2-3]","tests","Mon Jul 21 17:30:49 CST 2025","passed","Mon Jul 21 17:32:58 CST 2025","","test_ota","",""
"测试切换WiFi网络","68787","test_change_wifi[desloc_testingwifi_netgear-asdfgVCXZ]","tests","Mon Jul 21 17:04:09 CST 2025","passed","Mon Jul 21 17:05:18 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","68203","test_change_wifi[desloc_testingwifi_linksys-asdfgVCXZ]","tests","Mon Jul 21 17:12:26 CST 2025","passed","Mon Jul 21 17:13:34 CST 2025","","test_change_wifi","",""
"测试切换WiFi网络","71242","test_change_wifi[desloc_testingwifi_TPLink_w7G-]","tests","Mon Jul 21 16:56:23 CST 2025","passed","Mon Jul 21 16:57:34 CST 2025","","test_change_wifi","",""
"WiFi固件升级测试用例","90081","test_wifi_firmware_ota_upgrade[2-3]","tests","Mon Jul 21 17:25:09 CST 2025","passed","Mon Jul 21 17:26:39 CST 2025","","test_ota","",""
"通过WiFi添加用户名和钥匙测试用例（关闭蓝牙）","424665","test_add_alwaysusers_passcodes_via_wifi[test_user_014-5]","tests","Mon Jul 21 18:50:19 CST 2025","passed","Mon Jul 21 18:57:24 CST 2025","","test_add_access","",""
